Frame,Sub Frame,"Position - max4",,,"Rotation (Helical) - max4",,
,,"TX","TY","TZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","°","°","°"
308,0,"-111.155","-334.8","901.836","-2.45783","-7.89905","-0.50123"
309,0,"-110.964","-334.698","901.463","-2.34635","-7.9158","-0.466806"
310,0,"-110.886","-334.571","901.118","-2.23652","-7.9369","-0.454933"
311,0,"-110.797","-334.514","900.703","-2.09518","-7.92464","-0.447616"
312,0,"-110.683","-334.445","900.223","-1.9608","-7.95107","-0.417274"
313,0,"-110.589","-334.423","899.676","-1.80071","-7.94822","-0.395699"
314,0,"-110.513","-334.401","899.082","-1.63395","-7.94204","-0.367418"
315,0,"-110.42","-334.41","898.387","-1.45654","-7.9551","-0.328142"
316,0,"-110.336","-334.494","897.581","-1.23698","-7.91718","-0.305111"
317,0,"-110.279","-334.566","896.696","-1.02848","-7.95425","-0.265643"
318,0,"-110.377","-334.639","895.78","-0.871498","-8.13014","-0.217873"
319,0,"-110.288","-334.853","894.64","-0.603517","-8.15982","-0.17499"
320,0,"-110.321","-335.037","893.446","-0.343953","-8.23473","-0.138558"
321,0,"-110.454","-335.236","892.147","-0.0986188","-8.37471","-0.103502"
322,0,"-110.621","-335.455","890.732","0.170523","-8.49867","-0.0769213"
323,0,"-110.851","-335.717","889.208","0.439807","-8.67227","-0.0408931"
324,0,"-111.025","-336.09","887.5","0.757246","-8.80677","-0.0031162"
325,0,"-111.343","-336.425","885.832","1.04838","-8.98925","0.0154726"
326,0,"-111.646","-336.915","884.001","1.38086","-9.19079","0.0462894"
327,0,"-112.04","-337.395","882.165","1.69609","-9.44041","0.0655408"
328,0,"-112.447","-337.967","880.231","2.03585","-9.68549","0.0786926"
329,0,"-112.855","-338.563","878.228","2.38518","-9.95802","0.0909655"
330,0,"-113.268","-339.237","876.144","2.77336","-10.184","0.0904421"
331,0,"-113.7","-339.931","873.988","3.16031","-10.4166","0.0829342"
332,0,"-114.12","-340.729","871.733","3.56622","-10.6562","0.0871355"
